"region","sum","max","min","mean","median"
"EAST ANGLIA",1961503641,109785511,100,2679649.78278689,380937.5
"EAST MIDLANDS",5363535984,135087821,5000,4109989.25977011,225000
"GREATER LONDON",64930984859,448500000,100,3970342.72098569,653000
"NORTH",2526570717,448300979,100,3400498.9461642,210000
"NORTH WEST",6945221820,106772324,100,1720391.83056725,175380
"SOUTH EAST",16293251569,414108660,600,3446119.19818105,433245
"SOUTH WEST",4468231547,166105301,500,2716250.18054711,380000
"WALES",1429125947,83450000,3750,2807713.0589391,295000
"WEST MIDLANDS",6767170465,138150000,2500,4354678.54890605,325000
"YORKS AND HUMBER",4937046164,98080000,100,2357710.6800382,125875
