"country_incorporated_1","n","prop"
"1811435",1,"0.0011%"
"ABU DHABI",13,"0.0139%"
"AFGHANISTAN",1,"0.0011%"
"AJMAN",2,"0.0021%"
"AJMAN FREE ZONE",1,"0.0011%"
"ALASKA, U.S.A.",1,"0.0011%"
"ALBANIA",1,"0.0011%"
"ALBERTA, CANADA",8,"0.0086%"
"ALDERNEY",19,"0.0203%"
"ALGERIA",1,"0.0011%"
"ANDORRA",2,"0.0021%"
"ANGUILLA",234,"0.2504%"
"ANTIGUA AND BARBUDA",23,"0.0246%"
"ARIZONA, U.S.A.",2,"0.0021%"
"AUSTRALIA",841,"0.8999%"
"AUSTRIA",35,"0.0375%"
"BAHAMAS",916,"0.9802%"
"BAHRAIN",84,"0.0899%"
"BANGLADESH",6,"0.0064%"
"BARBADOS",40,"0.0428%"
"BELGIUM",140,"0.1498%"
"BELIZE",395,"0.4227%"
"BERMUDA",451,"0.4826%"
"BOTSWANA",3,"0.0032%"
"BRAZIL",9,"0.0096%"
"BREDA",1,"0.0011%"
"BRITISH COLUMBIA, CANADA",19,"0.0203%"
"BRITISH VIRGIN ISLANDS",20541,"21.9796%"
"BRUNEI",16,"0.0171%"
"BULGARIA",24,"0.0257%"
"CALIFORNIA, U.S.A.",38,"0.0407%"
"CANADA",115,"0.1231%"
"CAYMAN ISLANDS",1465,"1.5676%"
"CHANNEL ISLANDS",131,"0.1402%"
"CHILE",12,"0.0128%"
"CHINA",71,"0.0760%"
"CHONBURI",3,"0.0032%"
"COLOMBIA",3,"0.0032%"
"COLORADO, U.S.A.",2,"0.0021%"
"CONNECTICUT, U.S.A.",7,"0.0075%"
"COOK ISLANDS",5,"0.0054%"
"COSTA RICA",8,"0.0086%"
"COTE D'IVOIRE",2,"0.0021%"
"CROATIA",2,"0.0021%"
"CURACAO",15,"0.0161%"
"CYPRUS",1117,"1.1952%"
"CZECH REPUBLIC",9,"0.0096%"
"DELAWARE, U.S.A.",554,"0.5928%"
"DENMARK",277,"0.2964%"
"DOMINICA",25,"0.0268%"
"DUBAI",133,"0.1423%"
"DUTCH ANTILLES",23,"0.0246%"
"EGYPT",2,"0.0021%"
"ESTONIA",10,"0.0107%"
"ETHIOPIA",1,"0.0011%"
"FALKLAND ISLANDS",1,"0.0011%"
"FAROE ISLANDS",1,"0.0011%"
"FINLAND",10,"0.0107%"
"FLORIDA, U.S.A.",50,"0.0535%"
"FRANCE",278,"0.2975%"
"FUJAIRAH",1,"0.0011%"
"GAMBIA",3,"0.0032%"
"GEORGIA",2,"0.0021%"
"GEORGIA, U.S.A.",5,"0.0054%"
"GERMANY",511,"0.5468%"
"GHANA",11,"0.0118%"
"GIBRALTAR",2043,"2.1861%"
"GREECE",6,"0.0064%"
"GRENADA",2,"0.0021%"
"GUERNSEY",13008,"13.9190%"
"HAMBURG",2,"0.0021%"
"HAWAII, U.S.A.",2,"0.0021%"
"HEILIGKREUZ",1,"0.0011%"
"HONG KONG",1635,"1.7495%"
"HUNGARY",3,"0.0032%"
"ICELAND",39,"0.0417%"
"ILLINOIS, U.S.A.",17,"0.0182%"
"INDIA",88,"0.0942%"
"INDONESIA",3,"0.0032%"
"IOWA, U.S.A.",3,"0.0032%"
"IRAN",2,"0.0021%"
"IRAQ",4,"0.0043%"
"IRELAND",1697,"1.8158%"
"ISLE OF MAN",10422,"11.1519%"
"ISRAEL",142,"0.1519%"
"ITALY",262,"0.2803%"
"JAMAICA",3,"0.0032%"
"JAPAN",273,"0.2921%"
"JEBEL ALI FREE ZONE",25,"0.0268%"
"JERSEY",21720,"23.2411%"
"JORDAN",5,"0.0054%"
"KANSAS, U.S.A.",1,"0.0011%"
"KENYA",3,"0.0032%"
"KOREA",6,"0.0064%"
"KUWAIT",112,"0.1198%"
"LABUAN, MALAYSIA",19,"0.0203%"
"LATVIA",3,"0.0032%"
"LEBANON",11,"0.0118%"
"LIBERIA",341,"0.3649%"
"LIBYA",5,"0.0054%"
"LIECHTENSTEIN",405,"0.4334%"
"LITHUANIA",1,"0.0011%"
"LOUISIANA, U.S.A.",2,"0.0021%"
"LUXEMBOURG",2346,"2.5103%"
"MACAO",2,"0.0021%"
"MACAU",7,"0.0075%"
"MAINE, U.S.A.",1,"0.0011%"
"MALAYSIA",266,"0.2846%"
"MALTA",121,"0.1295%"
"MARSHALL ISLANDS",195,"0.2087%"
"MARYLAND, U.S.A.",2,"0.0021%"
"MASSACHUSETTS, U.S.A.",17,"0.0182%"
"MAURITIUS",491,"0.5254%"
